case_id,protein_id,ligand_id,ligand_ccd_code,model,msa_source,msa_path,status,error_message
f26e6f936e73,B3PDT6,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
4eaa3f7c5289,B3PDT6,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
4bd281c70177,B3PDT6,L004,CEL4,af3,native,,pending,
068b2a7e5292,B3PDT6,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
631fbbefe32c,B3PDT6,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
2299cb72b07f,B3PDT6,L005,CEL6,af3,native,,pending,
9918155fa159,B3PDT6,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
afd341b41bdf,B3PDT6,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
1e1ca633468f,B3PDT6,L006,CEL8,af3,native,,pending,
2681e3f9339c,B3PDT6,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
4b5a991df709,B3PDT6,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
0cf7acaa69a1,B3PDT6,L007,NAG4,af3,native,,pending,
5e9fe247ad62,B3PDT6,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
1acb39820360,B3PDT6,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
5698e4b68188,B3PDT6,L008,NAG6,af3,native,,pending,
84b44219e343,B3PDT6,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
b29428ed95c9,B3PDT6,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
c7444b0cf80f,B3PDT6,L009,NAG8,af3,native,,pending,
cbe71831a611,B3PDT6,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
7bc0e5cc1e07,B3PDT6,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
3b48fad3438d,A0A0A1ED04,L001,STA4,af3,native,,pending,
e6d4e7e57969,A0A0A1ED04,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
3ff81a04fe47,A0A0A1ED04,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
954b0838002e,A0A0A1ED04,L002,STA6,af3,native,,pending,
06e34477eefd,A0A0A1ED04,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
a37c3951f174,A0A0A1ED04,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
a98887383355,A0A0A1ED04,L003,STA8,af3,native,,pending,
b1d2d6ccf6b1,A0A0A1ED04,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
d02d539691a4,A0A0A1ED04,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
446408127522,A0A0A1ED04,L004,CEL4,af3,native,,pending,
cdcb14df18ab,A0A0A1ED04,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
a5e67e321d4e,A0A0A1ED04,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
404bb14d13a4,A0A0A1ED04,L005,CEL6,af3,native,,pending,
39f27d9c6d46,A0A0A1ED04,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
0578d7e38c2f,A0A0A1ED04,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
7beef0c669a4,A0A0A1ED04,L006,CEL8,af3,native,,pending,
cb84223059b6,A0A0A1ED04,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
c70c3ca5a5df,A0A0A1ED04,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
e0e790c29d58,A0A0A1ED04,L007,NAG4,af3,native,,pending,
667a7bc35a21,A0A0A1ED04,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
5ada09af0449,A0A0A1ED04,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
d528938827bc,A0A0A1ED04,L008,NAG6,af3,native,,pending,
67d930da0d14,A0A0A1ED04,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
1a0922827e25,A0A0A1ED04,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
467f16ead297,A0A0A1ED04,L009,NAG8,af3,native,,pending,
9f3ded285882,A0A0A1ED04,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
f4b72470fc9c,A0A0A1ED04,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
0a8fce3c293b,A0A9P1NI18,L001,STA4,af3,native,,pending,
